Area,Latitude,Longitude
A F Station Yelahanka,13.12682,77.61066
Agram,12.9984,77.57169
Amruthahalli,13.06684,77.5951
Anandnagar,12.96348,77.70202
Arabic College,13.03344005,77.61934508
Attur,13.10638,77.56584
Austin Town,12.96348,77.61297
Banaswadi,13.01964673,77.65469401
Bangalore International Airport,13.1996,77.70939
Bangalore Sub Foreign Post,12.96618,77.5869
Bellandur,12.92735,77.67185
Benson Town,13.00142,77.60193
Bhattarahalli,13.02002,77.70978
C.V.Raman Nagar,12.98713,77.66386
Devanagundi,12.97372,77.84145
Devasandra,13.00678,77.70097
Doddagubbi,13.06996,77.67397
Doddanekkundi,12.96999,77.69716
Domlur,12.94329,77.65602
Doorvaninagar,12.99744503,77.66830009
EPIP,12.96618,77.5869
Fraser Town,12.99894,77.61276
G.K.V.K.,13.07252,77.59254001
H.A.L II Stage,13.02210278,77.53511834
H.K.P. Road,12.9886725,77.60268336
Hoodi,12.99198,77.71506
Indiranagar,12.9784,77.6408
ISRO Anthariksha Bhavan,13.03451,77.57102
J.C.Nagar,13.00771,77.59416
Jeevanbhimanagar,12.96601,77.65767
Lingarajapuram,13.00548,77.62597
Maruthi Sevanagar,13.00256,77.63341
NAL,12.96618,77.5869
P&T Col. Kavalbyrasandra,13.02497,77.61105
Sadashivanagar,13.01483,77.57771
Sivan Chetty Gardens,12.98556,77.61518
Adugodi,12.94402,77.608
Agara,12.9231,77.6465
Anjanapura,12.85811,77.55909
Ashoknagar,13.05308,77.49786
Banashankari III Stage,12.92683,77.55017
Bannerghatta,12.80132,77.57898
Basavanagudi,12.93898,77.57137
Begur,12.88245,77.62475
Bnagalore Viswavidalaya,12.96618,77.5869
Bolare,12.96618,77.5869
Bommasandra Industrial Estate,12.81962,77.68819
Carmelram,12.90963792,77.70437935
Chamrajpet,12.95969733,77.57131161
Chickpet,12.97015,77.57589
Chikkalasandra,12.90995,77.55051
Chudenapura,12.8877,77.48768
Deepanjalinagar,12.95068,77.53541
Dharmaram College,12.93675,77.60264
Doddakallasandra,12.88648,77.55843
Electronics City,12.84547,77.6643
Gaviopuram Extension,12.94528,77.56646
Haragadde,12.76287,77.65688
HSR Layout,12.91216,77.6449
J P Nagar,12.90831,77.59024
Jayanagar,12.92872,77.58281
Jayangar III Block,12.93429,77.58277
Koramangala,12.9355,77.6141
Kumbalagodu,12.87689,77.4444
Nayandahalli,12.94205,77.521
Rv Niketan,12.91968989,77.50082981
Sampangiramnagar,12.97718,77.58975
Thalaghattapura,12.8648,77.53289
Ullalu Upanagar,12.95619,77.48006
Bagalgunte,13.05703,77.50297
Bangalore Dist Offices Bldg,12.97463,77.57838
Bapagrama,13.02095998,77.67627003
Basaveshwaranagar,12.99222,77.53444
Chandra Lay Out,12.95943,77.52751
Gayathrinagar,12.99934,77.55511
Hampinagar,12.87792,77.5695
Jalahalli East,13.06824,77.54105
Jalahalli,13.0545,77.52658
Jalahalli West,13.06173,77.53105
Kodigehalli,13.06724,77.56992
Laggere,13.00763,77.52165
Magadi Road,12.98628008,77.48860691
Mahalakshmipuram Layout,13.00383,77.54422
Malleswaram,13.00631985,77.56840485
Malleswaram West,13.00969966,77.57013067
Mathikere,13.03235,77.55866
Nagarbhavi,12.95624,77.50936
Nandinilayout,13.01481,77.53891
Peenya Dasarahalli,13.06,77.61034
Science Institute,12.94385,77.59711
Seshadripuram,12.99355,77.57988
Tarabanahalli,13.10124,77.48206
Vidyaranyapura,13.07927,77.55914
Yeshwanthpur Bazar,13.02578,77.55783
Anekal,12.70956,77.69804
Attibele,12.77971,77.77058
Bagalur,13.13182,77.67001
Bettahalsur,13.15502,77.60501
Chikkanahalli,12.88264,77.35592
Dasanapura,13.07622,77.43457
Dommasandra,12.88492,77.74721
